ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
300750.SZ,宁德时代,新能源汽车,2024-11-25,249.39,250.43,252.89,247.51,262391,6923644963.0,2.19,2.04,5.0,0.67,245.43,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-11-26,247.9,243.05,250.3,241.99,273604,7076484876.0,3.32,-2.95,-7.38,0.7,250.43,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-11-27,241.03,246.23,247.23,237.8,274007,7033615361.0,3.88,1.31,3.18,0.7,243.05,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-11-28,245.53,241.03,245.86,239.83,223556,5728197559.0,2.45,-2.11,-5.2,0.57,246.23,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-11-29,237.56,247.57,254.32,237.56,313663,8192074188.0,6.95,2.71,6.54,0.8,241.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-02,244.97,248.52,249.88,243.54,206475,5387882833.0,2.56,0.38,0.95,0.53,247.57,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-03,247.33,248.17,249.32,245.33,173108,4514867561.0,1.61,-0.14,-0.35,0.44,248.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-04,246.33,245.3,248.33,243.83,161814,4186965339.0,1.81,-1.16,-2.87,0.41,248.17,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-05,244.32,242.33,245.28,241.34,160216,4109014221.0,1.61,-1.21,-2.97,0.41,245.3,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-06,242.33,252.88,256.23,241.33,330381,8719647873.0,6.15,4.35,10.55,0.85,242.33,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
