ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
600519.SH,贵州茅台,食品饮料,2025-06-09,1425.44,1406.53,1429.12,1406.1,44959,6723839138.0,1.61,-1.42,-20.28,0.36,1426.81,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-10,1406.42,1395.43,1412.42,1395.22,30492,4511934584.0,1.22,-0.79,-11.1,0.24,1406.53,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-11,1397.22,1400.42,1414.42,1396.52,30893,4585522755.0,1.28,0.36,4.99,0.25,1395.43,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-12,1400.42,1379.42,1404.29,1374.52,49904,7306800800.0,2.13,-1.5,-21.0,0.4,1400.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-13,1364.83,1347.37,1370.39,1345.48,59113,8466515559.0,1.81,-2.32,-32.05,0.47,1379.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-16,1321.62,1342.71,1345.46,1321.6,42888,6060448438.0,1.77,-0.35,-4.66,0.34,1347.37,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-17,1340.42,1347.42,1347.42,1332.6,27232,3868364671.0,1.1,0.35,4.71,0.22,1342.71,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-18,1360.42,1345.42,1363.86,1341.43,30761,4404131364.0,1.66,-0.15,-2.0,0.24,1347.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-19,1346.42,1346.42,1354.09,1337.6,24501,3490268568.0,1.23,0.07,1.0,0.2,1345.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-20,1344.0,1349.08,1361.56,1340.62,34816,4990683314.0,1.56,0.2,2.66,0.28,1346.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-23,1340.42,1340.42,1353.42,1325.6,26723,3794012343.0,2.06,-0.64,-8.66,0.21,1349.08,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-24,1343.77,1357.62,1372.1,1343.77,36312,5229183514.0,2.11,1.28,17.2,0.29,1340.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-25,1359.53,1356.28,1369.62,1340.93,41050,5869292227.0,2.11,-0.1,-1.34,0.33,1357.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-26,1363.02,1368.02,1376.02,1358.1,34860,4955829982.0,1.32,0.87,11.74,0.28,1356.28,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-27,1368.03,1351.11,1371.02,1351.11,38250,5404312675.0,1.46,-1.24,-16.91,0.3,1368.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-06-30,1351.52,1357.54,1361.25,1350.02,30457,4287373691.0,0.83,0.48,6.43,0.24,1351.11,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-01,1357.02,1353.12,1359.96,1351.33,19878,2794423203.0,0.64,-0.33,-4.42,0.16,1357.54,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-02,1357.52,1357.62,1362.82,1348.02,26218,3689246316.0,1.09,0.33,4.5,0.21,1353.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-03,1360.02,1363.62,1370.71,1356.02,24413,3456733002.0,1.08,0.44,6.0,0.19,1357.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-04,1363.72,1370.24,1379.91,1358.03,28767,4086547268.0,1.6,0.49,6.62,0.23,1363.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-07,1370.3,1358.72,1371.52,1358.03,23855,3370562659.0,0.98,-0.84,-11.52,0.19,1370.24,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-08,1358.73,1364.13,1368.02,1358.72,18674,2643302691.0,0.68,0.4,5.41,0.15,1358.72,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-09,1363.02,1366.9,1377.99,1362.19,27745,3950810723.0,1.16,0.2,2.77,0.22,1364.13,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-10,1366.99,1374.52,1384.2,1358.42,38725,5503329754.0,1.89,0.56,7.62,0.31,1366.9,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-11,1371.18,1375.02,1406.02,1371.18,57243,8239010390.0,2.53,0.04,0.5,0.46,1374.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-14,1378.02,1371.62,1383.0,1369.62,27781,3961736006.0,0.97,-0.25,-3.4,0.22,1375.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
