ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,short_ma,long_ma,target_position,signal,position,execution,market_return,gross_strategy_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,drawdown,short_window,long_window
000858.SZ,五粮液,食品饮料,2020-05-13,118.32,121.42,121.63,117.72,196350,2845747552.0,3.3,2.62,3.1,0.52,118.32,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,118.532,111.77399999999999,1,HOLD,1,HOLD,0.02620013522650444,0.02620013522650444,0.0,0.0,0.02620013522650444,274617.3641215075,513186.8131868143,-0.15177418663944164,5,15
000858.SZ,五粮液,食品饮料,2020-05-14,121.32,121.72,122.42,119.82,153613,2244204768.0,2.14,0.25,0.3,0.4,121.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,119.41,112.90666666666667,1,HOLD,1,HOLD,0.0024707626420688023,0.0024707626420688023,0.0,0.0,0.0024707626420688023,275295.87844564236,514454.77599323867,-0.14967842198775194,5,15
000858.SZ,五粮液,食品饮料,2020-05-15,122.92,120.64,123.41,119.5,160644,2338474672.0,3.21,-0.89,-1.08,0.42,121.72,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,119.874,114.15666666666668,1,HOLD,1,HOLD,-0.00887282287216562,-0.00887282287216562,0.0,0.0,-0.00887282287216562,272853.2268787569,509890.109890111,-0.15722317473383507,5,15
000858.SZ,五粮液,食品饮料,2020-05-18,120.42,126.61,127.88,120.02,248810,3718097616.0,6.52,4.95,5.97,0.66,120.64,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,121.742,115.54933333333334,1,HOLD,1,HOLD,0.04948607427055696,0.04948607427055696,0.0,0.0,0.04948607427055696,286355.6619290402,535122.5697379556,-0.11551745816520931,5,15
000858.SZ,五粮液,食品饮料,2020-05-19,128.75,126.84,128.91,125.79,176506,2669709616.0,2.46,0.18,0.23,0.47,126.61,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,123.446,116.90466666666667,1,HOLD,1,HOLD,0.0018166021641261576,0.0018166021641261576,0.0,0.0,0.0018166021641261576,286875.85624421027,536094.6745562142,-0.11391070526558045,5,15
000858.SZ,五粮液,食品饮料,2020-05-20,127.92,126.27,128.4,125.93,170412,2580358160.0,1.95,-0.45,-0.57,0.45,126.84,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,124.41599999999998,118.20133333333334,1,HOLD,1,HOLD,-0.004493850520340681,-0.004493850520340681,0.0,0.0,-0.004493850520340681,285586.67902835406,533685.545224008,-0.11789265810379101,5,15
000858.SZ,五粮液,食品饮料,2020-05-21,127.28,127.1,128.95,126.45,170922,2602103040.0,1.98,0.66,0.83,0.45,126.27,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,125.492,119.46666666666667,1,HOLD,1,HOLD,0.006573216124178272,0.006573216124178272,0.0,0.0,0.006573216124178272,287463.90199179377,537193.5756551153,-0.11209437590078286,5,15
000858.SZ,五粮液,食品饮料,2020-05-22,126.18,119.67,126.2,119.07,383526,5597327872.0,5.61,-5.85,-7.43,1.01,127.1,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,125.298,119.81666666666666,1,HOLD,1,HOLD,-0.05845790715971666,-0.05845790715971666,0.0,0.0,-0.05845790715971666,270659.3638973876,505790.3634826723,-0.16399948044096524,5,15
000858.SZ,五粮液,食品饮料,2020-05-25,119.43,122.45,122.82,116.52,243560,3540747472.0,5.26,2.32,2.78,0.64,119.67,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,124.46600000000001,120.58533333333334,1,HOLD,1,HOLD,0.02323055068103952,0.02323055068103952,0.0,0.0,0.02323055068103952,276946.92996770376,517540.1521555379,-0.1445787280019737,5,15
000858.SZ,五粮液,食品饮料,2020-05-26,122.45,123.23,124.54,121.57,165119,2436906016.0,2.43,0.64,0.78,0.44,122.45,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,123.744,121.388,1,HOLD,1,HOLD,0.006369946917109015,0.006369946917109015,0.0,0.0,0.006369946917109015,278711.0672104544,520836.8554522412,-0.13912973990758026,5,15
