ts_code,stock_name,industry,parameter,short_window,long_window,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,holding_ratio,total_cost_rate
600036.SH,招商银行,银行,MA10/MA20,10,20,全样本,1823,0.07290896871983721,0.00977547563560055,0.24944741995723022,0.1627970157740751,-0.5104359047178659,2.09136630343671,-2.0184573347168726,46,46,0.5298957761930884,0.092
600036.SH,招商银行,银行,MA10/MA20,10,20,样本内,1214,-0.18931461694015284,-0.04263018941474328,0.2743865354171551,-0.02282699564057343,-0.5104359047178659,0.8298407376362089,-1.0191553545763616,32,32,0.5024711696869851,0.064
600036.SH,招商银行,银行,MA10/MA20,10,20,样本外,609,0.3234591262398909,0.12295661867299934,0.19029134609387446,0.7044296189050269,-0.19966813372835002,0.6894182317911126,-0.3659591055512217,14,14,0.5845648604269293,0.028
600036.SH,招商银行,银行,MA10/MA30,10,30,全样本,1823,-0.20076583488261257,-0.030503435641789367,0.2515276121597971,0.0018425574535914657,-0.5160119263915355,2.09136630343671,-2.2921321383193223,39,39,0.5304443225452551,0.07799999999999999
600036.SH,招商银行,银行,MA10/MA30,10,30,样本内,1214,-0.28044980280532017,-0.06603846122070045,0.2789701929051414,-0.10647078139794407,-0.5160119263915355,0.8298407376362089,-1.110290540441529,27,27,0.5024711696869851,0.054000000000000006
600036.SH,招商银行,银行,MA10/MA30,10,30,样本外,609,0.11074136069084917,0.04441793651138637,0.18521335980112177,0.3271717490496187,-0.18175186763795703,0.6894182317911126,-0.5786768711002634,12,12,0.5862068965517241,0.024
600036.SH,招商银行,银行,MA20/MA60,20,60,全样本,1823,0.05338919681536436,0.007215826496771216,0.2470131712135912,0.1516168801233646,-0.49045173138233555,2.09136630343671,-2.0379771066213452,19,19,0.5414152495885902,0.038000000000000006
600036.SH,招商银行,银行,MA20/MA60,20,60,样本内,1214,0.1007742883585574,0.02013031945508792,0.27695123063576726,0.20910014207982944,-0.46411152085700913,0.8298407376362089,-0.7290664492776515,11,11,0.5057660626029654,0.022000000000000002
600036.SH,招商银行,银行,MA20/MA60,20,60,样本外,609,-0.043047055190444605,-0.018042582334761526,0.1726568238661007,-0.019301903912781016,-0.27556327939536873,0.6894182317911126,-0.7324652869815572,8,8,0.6124794745484401,0.016
600519.SH,贵州茅台,食品饮料,MA5/MA10,5,10,全样本,1823,-0.07801666541408825,-0.011165659598207922,0.23712271740225305,0.0707000366565119,-0.5011151992886171,2.705578448859107,-2.783595114273195,103,102,0.5150850246845858,0.20500000000000002
