ts_code,trade_date,date,adj_factor,vol,amount,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-09-04,2025-09-04,1.0,221653.87,28013149.023,922.0761802575107,931.464592274678,792.6502145922747,806.0622317596566,942.1942060085836,-136.131974248927,-14.448398576512453
688256.SH,2025-09-05,2025-09-05,1.0,200038.78,24705957.244,818.1330472103003,878.5877145922747,785.9442060085836,859.3481759656652,806.0622317596566,53.285944206008594,6.61064891846922
688256.SH,2025-09-08,2025-09-08,1.0,140728.03,17136817.058,834.8980686695279,843.6091738197424,793.3208154506437,813.2913090128754,859.3481759656652,-46.05686695278973,-5.359511806845322
688256.SH,2025-09-09,2025-09-09,1.0,103581.54,12767436.237,791.3157188841201,849.651287553648,791.3157188841201,823.544796137339,813.2913090128754,10.253487124463504,1.2607397879252609
688256.SH,2025-09-10,2025-09-10,1.0,138585.37,17662160.171,850.3218884120171,888.5461373390557,829.3857296137338,853.6748927038626,823.544796137339,30.13009656652366,3.6585862369408986
688256.SH,2025-09-11,2025-09-11,1.0,190932.43,25996861.983,868.4281115879828,963.2980150214592,855.6866952789699,930.1233905579398,853.6748927038626,76.44849785407723,8.955223880597012
688256.SH,2025-09-12,2025-09-12,1.0,197411.49,28695031.003,930.1233905579398,1020.8020386266094,920.0643776824033,997.8540772532189,930.1233905579398,67.73068669527902,7.281903388608512
688256.SH,2025-09-15,2025-09-15,1.0,114491.32,16564077.105,1009.2542918454935,1025.6169527896996,946.284871244635,965.6652360515021,997.8540772532189,-32.18884120171674,-3.225806451612904
688256.SH,2025-09-16,2025-09-16,1.0,136802.74,20074698.247,984.4420600858368,1024.6781115879828,957.9734442060085,965.732296137339,965.6652360515021,0.06706008583682888,0.006944444444436057
688256.SH,2025-09-17,2025-09-17,1.0,98617.47,14146955.67,947.7601931330471,985.7966738197424,920.2320278969956,967.0064377682403,965.732296137339,1.2741416309013402,0.1319352822720699
688256.SH,2025-09-18,2025-09-18,1.0,171994.85,25149758.553,1011.2660944206008,1017.9721030042917,926.1735515021458,952.9171137339056,967.0064377682403,-14.089324034334709,-1.4570041608876503
688256.SH,2025-09-19,2025-09-19,1.0,126552.24,17405922.549,933.4763948497854,952.2532188841201,899.9463519313305,904.8015021459227,952.9171137339056,-48.115611587982926,-5.04929661714721
688256.SH,2025-09-22,2025-09-22,1.0,134359.68,18462164.26,890.5512339055794,958.8921673819742,872.4517167381974,937.5,904.8015021459227,32.698497854077345,3.6138863360113946
688256.SH,2025-09-23,2025-09-23,1.0,128180.62,17429935.879,938.8412017167382,955.6062231759656,880.7202253218883,905.5659871244635,937.5,-31.934012875536496,-3.4062947067238927
688256.SH,2025-09-24,2025-09-24,1.0,100897.18,13721388.643,891.8991416309012,938.8412017167382,891.8991416309012,921.4055793991416,905.5659871244635,15.839592274678125,1.7491372798767768
688256.SH,2025-09-25,2025-09-25,1.0,90301.12,12516091.788,918.3141094420602,948.893508583691,905.3111587982833,929.9155042918454,921.4055793991416,8.509924892703793,0.9235807860261933
688256.SH,2025-09-26,2025-09-26,1.0,75520.99,10227301.335,915.3701716738196,932.1351931330472,894.5815450643777,897.9345493562231,929.9155042918454,-31.98095493562232,-3.4391248224188544
688256.SH,2025-09-29,2025-09-29,1.0,90298.05,11815948.745,885.1931330472103,897.9211373390558,852.3336909871244,887.5402360515021,897.9345493562231,-10.394313304720981,-1.1575802837938707
688256.SH,2025-09-30,2025-09-30,1.0,86539.81,11699849.21,930.7939914163089,938.1706008583691,884.006169527897,888.5461373390557,887.5402360515021,1.00590128755357,0.11333585190781137
688256.SH,2025-10-09,2025-10-09,1.0,118338.23,16137619.926,912.3524678111587,942.817864806867,893.2403433476394,893.770118025751,888.5461373390557,5.223980686695313,0.5879245283018907
688256.SH,2025-10-10,2025-10-10,1.0,108213.0,13767648.794,873.1223175965665,874.6714055793991,832.2089592274677,836.2929184549355,893.770118025751,-57.477199570815515,-6.430870579761261
688256.SH,2025-10-13,2025-10-13,1.0,87752.78,11019557.222,811.4270386266094,857.0278969957081,811.4270386266094,846.3720493562231,836.2929184549355,10.079130901287613,1.2052153831350105
688256.SH,2025-10-14,2025-10-14,1.0,105876.0,12861254.895,852.9975858369098,852.9975858369098,798.0150214592275,802.038626609442,846.3720493562231,-44.33342274678114,-5.238053735411338
688256.SH,2025-10-15,2025-10-15,1.0,70806.98,8637499.885,810.0858369098712,836.2258583690987,798.0150214592275,832.8862660944205,802.038626609442,30.847639484978572,3.8461538461538507
688256.SH,2025-10-16,2025-10-16,1.0,96667.9,12409422.159,844.9570815450643,877.1190987124463,844.9570815450643,854.3454935622317,832.8862660944205,21.45922746781116,2.5764895330112725
688256.SH,2025-10-17,2025-10-17,1.0,84813.74,10607162.139,841.5705472103004,864.5922746781115,816.946083690987,836.695278969957,854.3454935622317,-17.650214592274665,-2.065934065934065
688256.SH,2025-10-20,2025-10-20,1.0,128071.07,16518765.341,853.7486587982831,894.5547210300429,832.550965665236,859.1201716738196,836.695278969957,22.42489270386261,2.6801744036932487
688256.SH,2025-10-21,2025-10-21,1.0,146125.63,19240518.795,859.1201716738196,924.087982832618,834.8980686695279,918.0257510729614,859.1201716738196,58.90557939914174,6.856500562008256
688256.SH,2025-10-22,2025-10-22,1.0,141335.62,19814513.226,899.2757510729613,984.4420600858368,897.9345493562231,958.6239270386266,918.0257510729614,40.59817596566518,4.422335203366052
688256.SH,2025-10-23,2025-10-23,1.0,79242.08,11008098.775,944.87660944206,950.2414163090128,915.3701716738196,938.1035407725323,958.6239270386266,-20.520386266094306,-2.1406086044071233
688256.SH,2025-10-24,2025-10-24,1.0,159565.6,23402505.412,955.6062231759656,1038.0901287553647,941.5236051502145,1022.6663090128754,938.1035407725323,84.56276824034319,9.01422546286366
688256.SH,2025-10-27,2025-10-27,1.0,122356.06,18757215.645,1046.137339055794,1046.1440450643777,1001.2070815450643,1026.475321888412,1022.6663090128754,3.8090128755366095,0.37245901639345524
688256.SH,2025-10-28,2025-10-28,1.0,104310.9,15591302.965,1009.2542918454935,1028.5608905579397,977.0654506437768,991.5370171673819,1026.475321888412,-34.938304721030136,-3.4037159955052743
688256.SH,2025-10-29,2025-10-29,1.0,101228.54,14915634.309,979.077253218884,1026.609442060086,960.9710300429184,979.7478540772531,991.5370171673819,-11.789163090128795,-1.188978614616731
688256.SH,2025-10-30,2025-10-30,1.0,117364.77,16889724.409,965.6652360515021,1005.8744635193133,938.8479077253219,953.5944206008584,979.7478540772531,-26.153433476394753,-2.6694045174537893
688256.SH,2025-10-31,2025-10-31,1.0,85167.38,11831070.79,944.1791845493563,948.2296137339056,922.0761802575107,922.0761802575107,953.5944206008584,-31.518240343347657,-3.305203938115332
688256.SH,2025-11-03,2025-11-03,1.0,63788.88,8590648.848,895.2521459227468,912.4597639484979,895.2521459227468,903.0311158798282,922.0761802575107,-19.04506437768248,-2.0654545454545534
688256.SH,2025-11-04,2025-11-04,1.0,71501.62,9736393.898,918.7231759656652,932.7052038626608,889.2167381974249,898.3369098712445,903.0311158798282,-4.694206008583706,-0.5198277142432811
688256.SH,2025-11-05,2025-11-05,1.0,67698.87,9005687.036,868.4281115879828,915.3701716738196,865.8194742489269,903.969957081545,898.3369098712445,5.633047210300447,0.6270528515974938
688256.SH,2025-11-06,2025-11-06,1.0,134785.95,19250016.672,929.4527896995708,993.0793991416309,919.5480150214592,992.4892703862661,903.969957081545,88.5193133047211,9.79228486646885
688256.SH,2025-11-07,2025-11-07,1.0,66444.28,9618929.569,976.0930793991415,985.0321888412018,959.0128755364806,960.6357296137338,992.4892703862661,-31.853540772532256,-3.2094594594594663
688256.SH,2025-11-10,2025-11-10,1.0,89348.59,12282433.932,958.9793454935622,972.3712446351931,896.6000536480686,933.1410944206008,960.6357296137338,-27.494635193133036,-2.8621291448516573
688256.SH,2025-11-11,2025-11-11,1.0,90176.81,12109374.239,937.5,940.8530042918454,871.1842811158797,891.8991416309012,933.1410944206008,-41.24195278969955,-4.419690980955802
688256.SH,2025-11-12,2025-11-12,1.0,67212.32,9031583.735,879.8283261802575,922.0761802575107,877.145922746781,915.8932403433475,891.8991416309012,23.994098712446316,2.6902255639097703
688256.SH,2025-11-13,2025-11-13,1.0,61507.83,8363426.246,906.6523605150214,930.1233905579398,891.2285407725321,928.7151287553648,915.8932403433475,12.821888412017302,1.3999326392244873
688256.SH,2025-11-14,2025-11-14,1.0,62737.92,8403397.057,905.3111587982833,915.4573497854077,888.0767167381973,888.5528433476394,928.7151287553648,-40.16228540772545,-4.324499963896324
688256.SH,2025-11-17,2025-11-17,1.0,67492.79,8840817.365,883.1478004291845,899.9530579399141,860.6357296137339,873.8599785407724,888.5528433476394,-14.692864806866964,-1.6535724258684856
688256.SH,2025-11-18,2025-11-18,1.0,60034.36,7979099.417,875.7711909871244,901.5826180257511,865.7390021459227,889.6861587982833,873.8599785407724,15.826180257510828,1.8110659197298862
688256.SH,2025-11-19,2025-11-19,1.0,42413.04,5664290.197,885.1931330472103,905.3111587982833,885.1931330472103,893.2403433476394,889.6861587982833,3.554184549356137,0.39948745006405906
688256.SH,2025-11-20,2025-11-20,1.0,38874.85,5185546.03,912.694474248927,915.7591201716738,885.1931330472103,886.7355150214592,893.2403433476394,-6.504828326180245,-0.728228228228227
688256.SH,2025-11-21,2025-11-21,1.0,72573.06,9176505.152,865.276287553648,870.4399141630901,831.5517703862661,837.5804721030042,886.7355150214592,-49.15504291845491,-5.543371398321105
688256.SH,2025-11-24,2025-11-24,1.0,59214.22,7394380.933,840.1824034334765,855.4050429184548,816.7918454935622,846.2848712446352,837.5804721030042,8.704399141630915,1.039231385108088
688256.SH,2025-11-25,2025-11-25,1.0,58771.03,7414400.485,850.3218884120171,861.9568133047209,834.2274678111587,844.9570815450643,846.2848712446352,-1.3277896995708716,-0.15689630580516994
688256.SH,2025-11-26,2025-11-26,1.0,91472.9,11889049.61,834.8980686695279,898.7124463519314,827.5281652360514,881.6121244635193,844.9570815450643,36.655042918455024,4.338095238095249
688256.SH,2025-11-27,2025-11-27,1.0,89364.17,12117075.987,912.0171673819742,930.9281115879828,880.4989270386266,883.4227467811157,881.6121244635193,1.810622317596426,0.20537629501162208
688256.SH,2025-11-28,2025-11-28,1.0,58546.39,7708418.732,878.4871244635193,903.2993562231759,865.7457081545064,892.5697424892703,883.4227467811157,9.146995708154577,1.0354041416165747
688256.SH,2025-12-01,2025-12-01,1.0,73684.03,9888480.775,890.5177038626609,926.7703862660944,866.5504291845493,913.6534334763949,892.5697424892703,21.083690987124555,2.362133734034571
688256.SH,2025-12-02,2025-12-02,1.0,46406.31,6242939.888,918.7231759656652,923.4173819742489,886.8293991416309,891.0474785407725,913.6534334763949,-22.60595493562232,-2.4742373976101706
