ts_code,trade_date,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-09-19,2025-09-19,1392.0,1420.0,1342.0,1349.24,1420.99,-71.75,-5.0493,126552.24,17405922.549,1.0,933.4763948497854,952.2532188841201,899.9463519313305,904.8015021459227,952.9171137339056,-48.115611587982926,-5.04929661714721
688256.SH,2025-09-22,2025-09-22,1327.99,1429.9,1301.0,1398.0,1349.24,48.76,3.6139,134359.68,18462164.26,1.0,890.5512339055794,958.8921673819742,872.4517167381974,937.5,904.8015021459227,32.698497854077345,3.6138863360113946
688256.SH,2025-09-23,2025-09-23,1400.0,1425.0,1313.33,1350.38,1398.0,-47.62,-3.4063,128180.62,17429935.879,1.0,938.8412017167382,955.6062231759656,880.7202253218883,905.5659871244635,937.5,-31.934012875536496,-3.4062947067238927
688256.SH,2025-09-24,2025-09-24,1330.0,1400.0,1330.0,1374.0,1350.38,23.62,1.7491,100897.18,13721388.643,1.0,891.8991416309012,938.8412017167382,891.8991416309012,921.4055793991416,905.5659871244635,15.839592274678125,1.7491372798767768
688256.SH,2025-09-25,2025-09-25,1369.39,1414.99,1350.0,1386.69,1374.0,12.69,0.9236,90301.12,12516091.788,1.0,918.3141094420602,948.893508583691,905.3111587982833,929.9155042918454,921.4055793991416,8.509924892703793,0.9235807860261933
688256.SH,2025-09-26,2025-09-26,1365.0,1390.0,1334.0,1339.0,1386.69,-47.69,-3.4391,75520.99,10227301.335,1.0,915.3701716738196,932.1351931330472,894.5815450643777,897.9345493562231,929.9155042918454,-31.98095493562232,-3.4391248224188544
688256.SH,2025-09-29,2025-09-29,1320.0,1338.98,1271.0,1323.5,1339.0,-15.5,-1.1576,90298.05,11815948.745,1.0,885.1931330472103,897.9211373390558,852.3336909871244,887.5402360515021,897.9345493562231,-10.394313304720981,-1.1575802837938707
688256.SH,2025-09-30,2025-09-30,1388.0,1399.0,1318.23,1325.0,1323.5,1.5,0.1133,86539.81,11699849.21,1.0,930.7939914163089,938.1706008583691,884.006169527897,888.5461373390557,887.5402360515021,1.00590128755357,0.11333585190781137
688256.SH,2025-10-09,2025-10-09,1360.5,1405.93,1332.0,1332.79,1325.0,7.79,0.5879,118338.23,16137619.926,1.0,912.3524678111587,942.817864806867,893.2403433476394,893.770118025751,888.5461373390557,5.223980686695313,0.5879245283018907
688256.SH,2025-10-10,2025-10-10,1302.0,1304.31,1240.99,1247.08,1332.79,-85.71,-6.4309,108213.0,13767648.794,1.0,873.1223175965665,874.6714055793991,832.2089592274677,836.2929184549355,893.770118025751,-57.477199570815515,-6.430870579761261
688256.SH,2025-10-13,2025-10-13,1210.0,1278.0,1210.0,1262.11,1247.08,15.03,1.2052,87752.78,11019557.222,1.0,811.4270386266094,857.0278969957081,811.4270386266094,846.3720493562231,836.2929184549355,10.079130901287613,1.2052153831350105
688256.SH,2025-10-14,2025-10-14,1271.99,1271.99,1190.0,1196.0,1262.11,-66.11,-5.2381,105876.0,12861254.895,1.0,852.9975858369098,852.9975858369098,798.0150214592275,802.038626609442,846.3720493562231,-44.33342274678114,-5.238053735411338
688256.SH,2025-10-15,2025-10-15,1208.0,1246.98,1190.0,1242.0,1196.0,46.0,3.8462,70806.98,8637499.885,1.0,810.0858369098712,836.2258583690987,798.0150214592275,832.8862660944205,802.038626609442,30.847639484978572,3.8461538461538507
688256.SH,2025-10-16,2025-10-16,1260.0,1307.96,1260.0,1274.0,1242.0,32.0,2.5765,96667.9,12409422.159,1.0,844.9570815450643,877.1190987124463,844.9570815450643,854.3454935622317,832.8862660944205,21.45922746781116,2.5764895330112725
688256.SH,2025-10-17,2025-10-17,1254.95,1289.28,1218.23,1247.68,1274.0,-26.32,-2.0659,84813.74,10607162.139,1.0,841.5705472103004,864.5922746781115,816.946083690987,836.695278969957,854.3454935622317,-17.650214592274665,-2.065934065934065
688256.SH,2025-10-20,2025-10-20,1273.11,1333.96,1241.5,1281.12,1247.68,33.44,2.6802,128071.07,16518765.341,1.0,853.7486587982831,894.5547210300429,832.550965665236,859.1201716738196,836.695278969957,22.42489270386261,2.6801744036932487
688256.SH,2025-10-21,2025-10-21,1281.12,1378.0,1245.0,1368.96,1281.12,87.84,6.8565,146125.63,19240518.795,1.0,859.1201716738196,924.087982832618,834.8980686695279,918.0257510729614,859.1201716738196,58.90557939914174,6.856500562008256
688256.SH,2025-10-22,2025-10-22,1341.0,1468.0,1339.0,1429.5,1368.96,60.54,4.4223,141335.62,19814513.226,1.0,899.2757510729613,984.4420600858368,897.9345493562231,958.6239270386266,918.0257510729614,40.59817596566518,4.422335203366052
688256.SH,2025-10-23,2025-10-23,1409.0,1417.0,1365.0,1398.9,1429.5,-30.6,-2.1406,79242.08,11008098.775,1.0,944.87660944206,950.2414163090128,915.3701716738196,938.1035407725323,958.6239270386266,-20.520386266094306,-2.1406086044071233
688256.SH,2025-10-24,2025-10-24,1425.0,1548.0,1404.0,1525.0,1398.9,126.1,9.0142,159565.6,23402505.412,1.0,955.6062231759656,1038.0901287553647,941.5236051502145,1022.6663090128754,938.1035407725323,84.56276824034319,9.01422546286366
688256.SH,2025-10-27,2025-10-27,1560.0,1560.01,1493.0,1530.68,1525.0,5.68,0.3725,122356.06,18757215.645,1.0,1046.137339055794,1046.1440450643777,1001.2070815450643,1026.475321888412,1022.6663090128754,3.8090128755366095,0.37245901639345524
688256.SH,2025-10-28,2025-10-28,1505.0,1533.79,1457.0,1478.58,1530.68,-52.1,-3.4037,104310.9,15591302.965,1.0,1009.2542918454935,1028.5608905579397,977.0654506437768,991.5370171673819,1026.475321888412,-34.938304721030136,-3.4037159955052743
688256.SH,2025-10-29,2025-10-29,1460.0,1530.88,1433.0,1461.0,1478.58,-17.58,-1.189,101228.54,14915634.309,1.0,979.077253218884,1026.609442060086,960.9710300429184,979.7478540772531,991.5370171673819,-11.789163090128795,-1.188978614616731
688256.SH,2025-10-30,2025-10-30,1440.0,1499.96,1400.01,1422.0,1461.0,-39.0,-2.6694,117364.77,16889724.409,1.0,965.6652360515021,1005.8744635193133,938.8479077253219,953.5944206008584,979.7478540772531,-26.153433476394753,-2.6694045174537893
688256.SH,2025-10-31,2025-10-31,1407.96,1414.0,1375.0,1375.0,1422.0,-47.0,-3.3052,85167.38,11831070.79,1.0,944.1791845493563,948.2296137339056,922.0761802575107,922.0761802575107,953.5944206008584,-31.518240343347657,-3.305203938115332
688256.SH,2025-11-03,2025-11-03,1335.0,1360.66,1335.0,1346.6,1375.0,-28.4,-2.0655,63788.88,8590648.848,1.0,895.2521459227468,912.4597639484979,895.2521459227468,903.0311158798282,922.0761802575107,-19.04506437768248,-2.0654545454545534
688256.SH,2025-11-04,2025-11-04,1370.0,1390.85,1326.0,1339.6,1346.6,-7.0,-0.5198,71501.62,9736393.898,1.0,918.7231759656652,932.7052038626608,889.2167381974249,898.3369098712445,903.0311158798282,-4.694206008583706,-0.5198277142432811
688256.SH,2025-11-05,2025-11-05,1295.0,1365.0,1291.11,1348.0,1339.6,8.4,0.6271,67698.87,9005687.036,1.0,868.4281115879828,915.3701716738196,865.8194742489269,903.969957081545,898.3369098712445,5.633047210300447,0.6270528515974938
688256.SH,2025-11-06,2025-11-06,1386.0,1480.88,1371.23,1480.0,1348.0,132.0,9.7923,134785.95,19250016.672,1.0,929.4527896995708,993.0793991416309,919.5480150214592,992.4892703862661,903.969957081545,88.5193133047211,9.79228486646885
688256.SH,2025-11-07,2025-11-07,1455.55,1468.88,1430.08,1432.5,1480.0,-47.5,-3.2095,66444.28,9618929.569,1.0,976.0930793991415,985.0321888412018,959.0128755364806,960.6357296137338,992.4892703862661,-31.853540772532256,-3.2094594594594663
688256.SH,2025-11-10,2025-11-10,1430.03,1450.0,1337.01,1391.5,1432.5,-41.0,-2.8621,89348.59,12282433.932,1.0,958.9793454935622,972.3712446351931,896.6000536480686,933.1410944206008,960.6357296137338,-27.494635193133036,-2.8621291448516573
688256.SH,2025-11-11,2025-11-11,1398.0,1403.0,1299.11,1330.0,1391.5,-61.5,-4.4197,90176.81,12109374.239,1.0,937.5,940.8530042918454,871.1842811158797,891.8991416309012,933.1410944206008,-41.24195278969955,-4.419690980955802
688256.SH,2025-11-12,2025-11-12,1312.0,1375.0,1308.0,1365.78,1330.0,35.78,2.6902,67212.32,9031583.735,1.0,879.8283261802575,922.0761802575107,877.145922746781,915.8932403433475,891.8991416309012,23.994098712446316,2.6902255639097703
688256.SH,2025-11-13,2025-11-13,1352.0,1387.0,1329.0,1384.9,1365.78,19.12,1.3999,61507.83,8363426.246,1.0,906.6523605150214,930.1233905579398,891.2285407725321,928.7151287553648,915.8932403433475,12.821888412017302,1.3999326392244873
688256.SH,2025-11-14,2025-11-14,1350.0,1365.13,1324.3,1325.01,1384.9,-59.89,-4.3245,62737.92,8403397.057,1.0,905.3111587982833,915.4573497854077,888.0767167381973,888.5528433476394,928.7151287553648,-40.16228540772545,-4.324499963896324
688256.SH,2025-11-17,2025-11-17,1316.95,1342.01,1283.38,1303.1,1325.01,-21.91,-1.6536,67492.79,8840817.365,1.0,883.1478004291845,899.9530579399141,860.6357296137339,873.8599785407724,888.5528433476394,-14.692864806866964,-1.6535724258684856
688256.SH,2025-11-18,2025-11-18,1305.95,1344.44,1290.99,1326.7,1303.1,23.6,1.8111,60034.36,7979099.417,1.0,875.7711909871244,901.5826180257511,865.7390021459227,889.6861587982833,873.8599785407724,15.826180257510828,1.8110659197298862
688256.SH,2025-11-19,2025-11-19,1320.0,1350.0,1320.0,1332.0,1326.7,5.3,0.3995,42413.04,5664290.197,1.0,885.1931330472103,905.3111587982833,885.1931330472103,893.2403433476394,889.6861587982833,3.554184549356137,0.39948745006405906
688256.SH,2025-11-20,2025-11-20,1361.01,1365.58,1320.0,1322.3,1332.0,-9.7,-0.7282,38874.85,5185546.03,1.0,912.694474248927,915.7591201716738,885.1931330472103,886.7355150214592,893.2403433476394,-6.504828326180245,-0.728228228228227
688256.SH,2025-11-21,2025-11-21,1290.3,1298.0,1240.01,1249.0,1322.3,-73.3,-5.5434,72573.06,9176505.152,1.0,865.276287553648,870.4399141630901,831.5517703862661,837.5804721030042,886.7355150214592,-49.15504291845491,-5.543371398321105
688256.SH,2025-11-24,2025-11-24,1252.88,1275.58,1218.0,1261.98,1249.0,12.98,1.0392,59214.22,7394380.933,1.0,840.1824034334765,855.4050429184548,816.7918454935622,846.2848712446352,837.5804721030042,8.704399141630915,1.039231385108088
688256.SH,2025-11-25,2025-11-25,1268.0,1285.35,1244.0,1260.0,1261.98,-1.98,-0.1569,58771.03,7414400.485,1.0,850.3218884120171,861.9568133047209,834.2274678111587,844.9570815450643,846.2848712446352,-1.3277896995708716,-0.15689630580516994
688256.SH,2025-11-26,2025-11-26,1245.0,1340.16,1234.01,1314.66,1260.0,54.66,4.3381,91472.9,11889049.61,1.0,834.8980686695279,898.7124463519314,827.5281652360514,881.6121244635193,844.9570815450643,36.655042918455024,4.338095238095249
688256.SH,2025-11-27,2025-11-27,1360.0,1388.2,1313.0,1317.36,1314.66,2.7,0.2054,89364.17,12117075.987,1.0,912.0171673819742,930.9281115879828,880.4989270386266,883.4227467811157,881.6121244635193,1.810622317596426,0.20537629501162208
688256.SH,2025-11-28,2025-11-28,1310.0,1347.0,1291.0,1331.0,1317.36,13.64,1.0354,58546.39,7708418.732,1.0,878.4871244635193,903.2993562231759,865.7457081545064,892.5697424892703,883.4227467811157,9.146995708154577,1.0354041416165747
688256.SH,2025-12-01,2025-12-01,1327.94,1382.0,1292.2,1362.44,1331.0,31.44,2.3621,73684.03,9888480.775,1.0,890.5177038626609,926.7703862660944,866.5504291845493,913.6534334763949,892.5697424892703,21.083690987124555,2.362133734034571
