parameter,momentum_window,trend_window,top_n,stop_loss,development_cumulative_return,development_annualized_return,development_annualized_volatility,development_sharpe_ratio,development_max_drawdown,development_excess_return,development_annual_turnover,development_average_exposure,development_trade_orders,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_excess_return,validation_annual_turnover,validation_average_exposure,validation_trade_orders,paper_cumulative_return,paper_annualized_return,paper_annualized_volatility,paper_sharpe_ratio,paper_max_drawdown,paper_excess_return,paper_annual_turnover,paper_average_exposure,paper_trade_orders,shortlisted,selected
M20/T120/N3/S12,20,120,3,0.12,0.6399991934121267,0.1371429084040945,0.23530959526274442,0.6628716178558033,-0.3038934008438233,-0.32565848214346493,12.417508394028346,0.4619160117151213,167,0.16528679657120038,0.08272377753528093,0.20818619992819234,0.48611981795009,-0.2282845914485968,-0.49289401661064036,15.043975008642667,0.6887724665812974,105,0.08391744477648744,0.1779349881296639,0.26563772145703557,0.7483558369728741,-0.13738242023996294,0.008020045234235162,15.146814551686028,0.579072954448349,30,True,False
M120/T60/N3/S16,120,60,3,0.16,0.4917130601828561,0.10948737457189583,0.27198967484826614,0.517504734183724,-0.5433457265600772,-0.4739446153727356,9.888317078857536,0.5640657224935722,153,0.1712432460337583,0.08559587310163508,0.2238212124946149,0.47773784987536116,-0.22427783906717758,-0.48693756714808245,10.79454013220803,0.7320704334692062,92,-0.05459515059266884,-0.1078268898729039,0.2967521161661619,-0.23684530700945586,-0.20885339317825224,-0.13049255013492111,17.390034484421022,0.6314320968879712,31,True,False
M120/T120/N2/S16,120,120,2,0.16,0.5128163789669322,0.11354391059365576,0.2956785432742437,0.510294550075194,-0.6712335685281474,-0.45284129658865946,9.439403760338173,0.5418270667166768,122,0.16525199384030032,0.08270697556972495,0.22656916980040137,0.46386154932806706,-0.23913196992928165,-0.4929288193415404,7.770239699532946,0.611350836071409,59,-0.2153003235531301,-0.3890435066367073,0.2508248762187744,-1.8366625311791,-0.23498790386948198,-0.2911977230953824,17.458747686797974,0.5932302353660186,25,False,False
M20/T120/N4/S12,20,120,4,0.12,0.42547457774111686,0.0964724388613103,0.21869074575308767,0.5300763107629601,-0.24698146903928708,-0.5401830978144748,11.892248677970166,0.45227767516882345,200,0.14389163414516437,0.07234878321185478,0.19509317144834468,0.45584019550597027,-0.20859025920111807,-0.5142891790366764,14.698600186389633,0.6732966401292475,127,-0.020614403057223507,-0.04144814917248252,0.22090007937982206,-0.0810202920869356,-0.11691197609774606,-0.09651180259947578,15.435847894667868,0.5645059977272924,32,True,False
M20/T120/N4/S8,20,120,4,0.08,0.3873531022296919,0.08877792158767583,0.18113285839045642,0.5597883572936868,-0.3287573145601438,-0.5783045733258998,13.228394807338706,0.3361001219932104,211,0.11919670814453687,0.06025705983986018,0.16272314217887798,0.44099855676174665,-0.14263132924693478,-0.5389841050373039,15.738725980614005,0.560523864772644,132,-0.07455072784406491,-0.1456814488404996,0.219742653846649,-0.6055960133012869,-0.14088075442570458,-0.1504481273863172,21.149498256586423,0.5013712697696024,38,True,False
M20/T120/N2/S8,20,120,2,0.08,0.06409092859237897,0.016269542452559183,0.203418278078931,0.17996754362105608,-0.322119427321666,-0.9015667469632127,12.641433787859851,0.28022753621690155,130,0.1334795866923575,0.06726603123358266,0.18841671598515877,0.43966283966124853,-0.19672534593171298,-0.5247012264894833,15.45620823272984,0.498592265876934,80,0.17713321901970325,0.39295128669749935,0.2890405122242963,1.2901077430210524,-0.14530765143748126,0.10123581947745097,21.522702597504612,0.4437485105198045,29,True,False
M20/T200/N2/S12,20,200,2,0.12,0.47290140497977884,0.10583538072440057,0.2451319157285797,0.5317429114542293,-0.24984739045002524,-0.49275627057581284,11.682821753919772,0.41712781688950346,124,0.13869518245132273,0.06981487087401139,0.22599830593393744,0.4111554478327788,-0.2653704422855039,-0.519485630730518,13.882925072592137,0.5830079383034286,76,0.18121288213122266,0.4027798414769066,0.3092072859851839,1.2478884571594107,-0.15095194486461394,0.10531548258897039,19.233180601358885,0.5850422127446164,25,True,False
M120/T200/N4/S16,120,200,4,0.16,0.10414436249622727,0.026072036897156092,0.2442310907281345,0.22752009277225277,-0.5381158232452,-0.8615133130593644,9.510843323387542,0.5585074152196582,198,0.11871575539567569,0.06002029849454815,0.19559734850306115,0.39520871760098536,-0.1877443596212386,-0.539465057786165,9.166204828962835,0.7004036675487887,112,0.007704557971073722,0.015719918585383796,0.22797357558514714,0.18167606400911887,-0.17078836848512724,-0.06819284157117855,13.813365314159393,0.6142334608255868,36,True,False
M120/T120/N3/S12,120,120,3,0.12,-0.04799497468448399,-0.012696658416645357,0.25327748985390997,0.07543911519125933,-0.6653686758889454,-1.0136526502400756,12.650604445786312,0.48980160479599044,182,0.11506868353359545,0.058223339966155585,0.19403966587058208,0.388363784873517,-0.18892794815024216,-0.5431121296482453,12.770137177411998,0.6614248271375696,100,0.00518638210063016,0.0105682825187019,0.25819401574109313,0.1680004022869193,-0.17518726572566434,-0.07071101744162211,16.205997694643507,0.5578770055805512,30,False,False
M120/T60/N2/S12,120,60,2,0.12,0.27248634536154226,0.06460434915220237,0.2514910477236469,0.37304004960934073,-0.5848964507131083,-0.6931713301940494,11.540414298634708,0.41729741083074035,128,0.12381527625962652,0.06252818500504254,0.22978991837523566,0.3777399023740444,-0.2939375680701837,-0.5343655369222142,11.254749626167504,0.5832349985579307,67,-0.16595061424377078,-0.30842173996268796,0.23605599493723972,-1.4426095816763969,-0.20937483428524006,-0.24184801378602305,15.727073793149028,0.5074179100952977,24,False,False
