trade_date,portfolio_value,strategy_return,strategy_nav,benchmark_return,benchmark_nav,exposure,cash_ratio,turnover,transaction_cost,holding_count
2019-11-11,1059768.5608795753,-0.01635085053310603,1.0597685608795753,-0.023950324777649655,2.0379307943131786,0.8834069245759569,0.1165930754240431,0.0,0.0,3
2019-11-12,1062388.041485008,0.0024717477967630685,1.062388041485008,0.0043620075341017864,2.046820263791951,0.8836944026798842,0.1163055973201159,0.0,0.0,3
2019-11-13,1085748.041485008,0.021988199309310064,1.085748041485008,0.016051804447395436,2.0796754224053053,0.8861967316269223,0.11380326837307775,0.0,0.0,3
2019-11-14,1102328.1453639215,0.015270673531435852,1.1023281453639215,0.01413583058796215,2.1090733618543753,0.887908445166417,0.11209155483358306,0.0,0.0,3
2019-11-15,1097127.9376060946,-0.004717477077671894,1.0971279376060947,-0.014293073613961505,2.0789282210361457,0.8873771494505278,0.11262285054947227,0.0,0.0,3
2019-11-18,1104698.7949380467,0.006900614843945663,1.1046987949380467,0.008647872432256898,2.0969065270874854,0.888148990189139,0.11185100981086113,0.0,0.0,3
2019-11-19,1109435.2104537005,0.004287517590638279,1.1094352104537004,0.021730982821689993,2.1424743668063133,0.8886265060037786,0.11137349399622148,0.0,0.0,3
2019-11-20,1091933.0276728533,-0.015775759247527166,1.0919330276728534,-0.01865582588749549,2.1025047380507527,0.8868413422625391,0.11315865773746099,0.0,0.0,3
2019-11-21,1092132.9237939399,0.0001830662833897101,1.09213292379394,0.003276817427765455,2.109394262218357,0.8868620540058225,0.1131379459941775,0.0,0.0,3
2019-11-22,1072835.728524603,-0.01766927344548941,1.0728357285246028,-0.007661782240152093,2.0932325427226135,0.8848270313288431,0.11517296867115695,0.0,0.0,3
2019-11-25,1053837.5470674206,-0.0177083787872252,1.0538375470674206,0.00887700879831269,2.111814186421277,0.8827507369665233,0.11724926303347676,0.0,0.0,3
2019-11-26,1051629.1646318627,-0.0020955624912998294,1.0516291646318627,0.017365185406842863,2.1484862313132833,0.6787314056538809,0.32126859434611904,0.2035089000167113,171.57225599999998,2
2019-11-27,1050310.7228155644,-0.0012537136289481055,1.0503107228155644,0.015592991196234817,2.1819875582033834,0.6783281212354244,0.32167187876457554,0.0,0.0,2
2019-11-28,1045090.5150577374,-0.004970155635308782,1.0450905150577374,-0.003829243125035864,2.1736321973472195,0.6767213761613781,0.32327862383862194,0.0,0.0,2
2019-11-29,1021972.5926360063,-0.02212049778334646,1.0219725926360064,-0.014031900684360433,2.143132006229715,0.6694085282431883,0.3305914717568117,0.0,0.0,2
2019-12-02,1022869.1744401802,0.0008773051358073047,1.02286917444018,0.007747518455208669,2.159735960999928,0.8978196067963601,0.10218039320363995,1.5591326853610743,818.2349764775967,3
2019-12-03,1030619.7744401802,0.0075773131048180176,1.0306197744401802,0.0048473128137753955,2.1702048767980546,0.898588036992641,0.10141196300735895,0.0,0.0,3
2019-12-04,1064718.9744401802,0.033086110751680886,1.0647189744401802,0.009557740565177941,2.190947131983774,0.9018359051080738,0.09816409489192619,0.0,0.0,3
2019-12-05,1104453.1744401802,0.037318955474510807,1.1044531744401802,0.021530627368025534,2.2381195982655613,0.905367491479974,0.09463250852002607,0.0,0.0,3
2019-12-06,1126120.77444018,0.019618396235750346,1.12612077444018,0.01733580058938401,2.276919193316285,0.9071883080283837,0.09281169197161647,0.0,0.0,3
2019-12-09,1119632.1744401802,-0.005761904182280508,1.1196321744401803,-0.0070363250340835905,2.2608980497957685,0.9066504367897081,0.09334956321029192,0.0,0.0,3
2019-12-10,1143976.5744401803,0.021743212240370235,1.1439765744401804,0.012934078539132398,2.290140682740798,0.908636962700633,0.09136303729936691,0.0,0.0,3
2019-12-11,1124546.5744401803,-0.01698461352629388,1.1245465744401804,0.004596518385432335,2.300667356494243,0.9070583852943478,0.09294161470565213,0.0,0.0,3
2019-12-12,1121786.1744401802,-0.002454678234535823,1.1217861744401803,-0.011173150522162134,2.274961653818708,0.9068296821429995,0.09317031785700049,0.0,0.0,3
2019-12-13,1129525.1744401802,0.006898819201317075,1.1295251744401802,0.01844571265198771,2.3169249427793384,0.9074680433820509,0.09253195661794913,0.0,0.0,3
2019-12-16,1156398.57444018,0.023791767202815173,1.1563985744401801,0.004863910689910167,2.3281942587762425,0.90961838180164,0.09038161819836003,0.0,0.0,3
2019-12-17,1162347.9744401802,0.00514476594099933,1.1623479744401801,0.012790383432218722,2.357972756050681,0.9100809940409467,0.08991900595905337,0.0,0.0,3
2019-12-18,1148864.3744401801,-0.011600312726052775,1.14886437444018,-0.0013522415750976346,2.3547842072570018,0.9090256632850074,0.09097433671499251,0.0,0.0,3
