trade_date,symbol,shares,close,market_value,weight
2025-04-15,600519.SH,300,1478.42,443526.0,0.3281630703905253
2025-04-16,600036.SH,11700,38.23,447290.99999999994,0.33043388951580366
2025-04-16,600519.SH,300,1479.59,443877.0,0.3279118148511962
2025-04-17,600036.SH,11700,38.1,445770.0,0.32889041333478025
2025-04-17,600519.SH,300,1490.42,447126.0,0.3298908741115978
2025-04-18,600036.SH,11700,38.73,453140.99999999994,0.3328178650093392
2025-04-18,600519.SH,300,1486.36,445907.99999999994,0.3275054531604609
2025-04-21,600036.SH,11700,38.26,447642.0,0.3312070115760889
2025-04-21,600519.SH,300,1471.42,441426.0,0.3266078390588609
2025-04-22,600036.SH,11700,37.99,444483.0,0.3298015946402844
2025-04-22,600519.SH,300,1469.22,440766.0,0.3270436207081477
2025-04-23,600036.SH,11700,37.97,444249.0,0.3294504993925797
2025-04-23,600519.SH,300,1472.42,441726.0,0.32757946848431096
2025-04-24,600036.SH,11700,38.19,446823.0,0.33070968172712417
2025-04-24,600519.SH,300,1472.67,441801.0,0.32699271992875295
2025-04-25,600036.SH,11700,38.06,445302.0,0.3301204926581857
2025-04-25,600519.SH,300,1470.42,441126.0,0.3270246539299954
2025-04-28,600036.SH,11700,38.33,448461.0,0.3316856149386033
2025-04-28,600519.SH,300,1470.42,441126.0,0.3262605858155031
2025-04-29,600036.SH,11700,37.98,444365.99999999994,0.3300961344447554
2025-04-29,600519.SH,300,1464.42,439326.0,0.32635218347280537
2025-04-30,600036.SH,11700,36.72,429624.0,0.32246077884956437
2025-04-30,600519.SH,300,1467.42,440226.0,0.3304182699984831
2025-05-06,002371.SZ,1500,337.394,506091.0,0.3743170114853141
2025-05-06,000425.SZ,63000,8.696,547848.0,0.40520148769333253
2025-05-07,002371.SZ,1500,330.527,495790.5,0.36968723667320874
2025-05-07,000425.SZ,63000,8.686,547218.0,0.40803426099903073
2025-05-08,002371.SZ,1500,330.964,496446.0,0.37297224393649636
2025-05-08,000425.SZ,63000,8.516,536508.0,0.4030702083406489
2025-05-09,002371.SZ,1500,325.009,487513.5,0.36838484953538647
2025-05-09,000425.SZ,63000,8.536,537768.0,0.4063591752124725
2025-05-12,002371.SZ,1500,321.92,482880.0,0.3642514943826612
2025-05-12,000425.SZ,63000,8.646,544698.0,0.4108827462045369
2025-05-13,002371.SZ,1500,320.675,481012.5,0.362320076521433
2025-05-13,000425.SZ,63000,8.706,548478.0,0.41313810125583544
2025-05-14,002371.SZ,1500,322.112,483168.00000000006,0.3694805178991641
2025-05-14,000425.SZ,63000,8.356,526428.0,0.4025616143383277
2025-05-15,002371.SZ,1500,316.157,474235.5,0.36998978009726424
2025-05-15,000425.SZ,63000,8.086,509418.0,0.39743851693428295
2025-05-16,002371.SZ,1500,315.934,473901.00000000006,0.3710010432850124
2025-05-19,002371.SZ,1500,320.675,481012.5,0.37448351405973185
2025-05-20,002371.SZ,1500,319.683,479524.5,0.3737580407573776
2025-05-21,002371.SZ,1500,314.749,472123.50000000006,0.3701245435255132
2025-05-22,002371.SZ,1500,311.683,467524.5,0.3678453615312753
2025-06-03,000001.SZ,47800,10.856427119302486,518937.21630265884,0.4041081077991307
2025-06-03,600036.SH,9500,39.95,379525.0,0.2955446724464947
2025-06-03,300750.SZ,1000,243.24,243240.0,0.1894164709199272
2025-06-04,000001.SZ,47800,10.884004834254142,520255.431077348,0.40448161234746366
2025-06-04,600036.SH,9500,40.04,380380.0,0.29573303134216367
2025-06-04,300750.SZ,1000,243.14,243140.0,0.1890334119578676
2025-06-05,000001.SZ,47800,10.72773111619475,512785.54735410906,0.3999410705590761
2025-06-05,600036.SH,9500,40.35,383325.0,0.2989698357590213
2025-06-05,300750.SZ,1000,243.59,243590.0,0.18998516217971695
2025-06-06,000001.SZ,47800,10.755308831146408,514103.7621287983,0.40107924112010995
2025-06-06,600036.SH,9500,40.45,384275.0,0.2997930315530689
2025-06-06,300750.SZ,1000,240.97,240970.0,0.18799330378854467
2025-06-09,000001.SZ,47800,10.76450140279696,514543.16705369466,0.4019317785001508
2025-06-09,600036.SH,9500,40.58,385510.0,0.30113842696005255
2025-06-09,300750.SZ,1000,237.67,237670.0,0.1856542500469396
2025-06-10,000001.SZ,47800,10.856427119302486,518937.21630265884,0.4045365373388232
2025-06-10,600036.SH,9500,40.65,386175.0,0.3010419996851932
2025-06-10,300750.SZ,1000,235.23,235230.0,0.18337310697468245
2025-06-11,000001.SZ,47800,10.893197405904695,520694.83600224444,0.4011541030974886
2025-06-11,600036.SH,9500,41.29,392255.0,0.30220138904897287
2025-06-11,300750.SZ,1000,242.59,242590.0,0.18689636835576431
2025-06-12,000001.SZ,47800,11.073330340699815,529305.1902854511,0.405550485290928
2025-06-12,600036.SH,9500,41.21,391495.0,0.29996113802199376
2025-06-12,300750.SZ,1000,241.9,241900.0,0.18534233971703415
2025-06-13,000001.SZ,47800,10.97852443024862,524773.467765884,0.40412710700493976
2025-06-13,600036.SH,9500,41.16,391019.99999999994,0.3011238011971471
2025-06-13,300750.SZ,1000,240.29,240290.0,0.18504689834193258
2025-06-16,000001.SZ,47800,11.17761684219613,534290.085056975,0.4071674119307335
2025-06-16,600036.SH,9500,41.76,396720.0,0.30232912827483105
2025-06-16,300750.SZ,1000,238.75,238750.0,0.18194464452413772
2025-06-17,000001.SZ,47800,11.149175069060773,532930.5683011049,0.4060878874494799
2025-06-17,600036.SH,9500,41.96,398620.0,0.3037445463320706
2025-06-17,300750.SZ,1000,238.35,238350.0,0.18162037182843066
2025-06-18,000001.SZ,47800,11.158655660105891,533383.7405530616,0.40688953436523245
2025-06-18,600036.SH,9500,41.83,397385.0,0.30314346936423464
2025-06-18,300750.SZ,1000,237.66,237660.0,0.18129792752394783
2025-06-19,000001.SZ,47800,11.092291522790054,530211.5347893646,0.40718200277508093
2025-06-19,600036.SH,9500,41.61,395295.0,0.3035713092339994
2025-06-19,300750.SZ,1000,234.19,234190.0,0.17984888478101246
2025-06-20,000001.SZ,47800,11.22501979742173,536555.9463167588,0.40956181931442825
2025-06-20,600036.SH,9500,41.97,398715.0,0.30434559883071005
2025-06-20,300750.SZ,1000,232.35,232350.0,0.1773565075011361
2025-06-23,000001.SZ,47800,11.310345116827808,540634.4965843692,0.41082531858067056
2025-06-23,600036.SH,9500,42.23,401184.99999999994,0.3048583774732651
2025-06-23,300750.SZ,1000,231.7,231700.0,0.17606761484241817
2025-06-24,000001.SZ,47800,11.310345116827808,540634.4965843692,0.4074013400933752
2025-06-24,600036.SH,9500,42.73,405934.99999999994,0.30589698592234754
2025-06-24,300750.SZ,1000,238.01,238010.0,0.1793551716885165
2025-06-25,000001.SZ,47800,11.433592800414363,546525.7358598065,0.4051255843639529
2025-06-25,600036.SH,9500,43.48,413059.99999999994,0.3061908395111705
2025-06-25,300750.SZ,1000,246.99,246990.0,0.1830873854908827
2025-06-26,000001.SZ,47800,11.765413486993554,562386.7646782919,0.41158613990220727
2025-06-26,600036.SH,9500,43.86,416670.0,0.3049424483009574
2025-06-26,300750.SZ,1000,244.88,244880.0,0.17921690244063274
2025-06-27,000001.SZ,47800,11.56632107504604,552870.1473872007,0.41280457945085675
2025-06-27,600036.SH,9500,42.2,400900.0,0.2993349463412893
2025-06-27,300750.SZ,1000,243.08,243080.0,0.18149747756707563
2025-06-30,000001.SZ,47800,11.443073391459484,546978.9081117633,0.4106213599144056
2025-06-30,600036.SH,9500,41.93,398335.0,0.2990332112917301
2025-06-30,300750.SZ,1000,244.31,244310.0,0.18340543474884854
2025-07-01,000001.SZ,37000,11.661126985497235,431461.6984633977,0.3208351645165319
2025-07-01,600036.SH,10200,42.43,432786.0,0.32181991589279185
2025-07-01,002371.SZ,1000,326.823,326823.0,0.24302576879064922
2025-07-02,000001.SZ,37000,11.680088167587476,432163.2622007366,0.32118618543068217
2025-07-02,600036.SH,10200,42.88,437376.0,0.3250603217023999
2025-07-02,002371.SZ,1000,322.246,322246.0,0.23949505328895862
