industry,parameter,sample_period,stock_count,median_cumulative_return,median_sharpe_ratio,median_max_drawdown,positive_return_share,median_completed_trades,median_average_exposure
银行,E10/X5/ATR14/S1.5,in_sample,2,-0.030180380236490056,-0.11365606741030398,-0.11307560537250644,0.5,34.0,0.07447081760552915
银行,E10/X5/ATR14/S1.5,out_of_sample,2,0.01776935663479129,0.1626403432151929,-0.07713208450968373,0.5,19.0,0.15789379605429293
银行,E20/X10/ATR20/S1.5,full,2,-0.043705008402984136,-0.09587651453581018,-0.1434899232227318,0.0,37.5,0.09173843621778596
银行,E20/X10/ATR20/S1.5,in_sample,2,-0.04373435919217822,-0.1712776702130994,-0.12186613717280392,0.0,23.5,0.07032676059285824
银行,E20/X10/ATR20/S1.5,out_of_sample,2,0.00013829591054154156,0.03262488971660461,-0.0774241648668384,0.5,14.0,0.13442115248816727
银行,E20/X10/ATR20/S2,full,2,-0.04499451875595045,-0.14135785645760934,-0.11954666502773131,0.0,35.0,0.07624969967696547
银行,E20/X10/ATR20/S2,in_sample,2,-0.04681563839381214,-0.2512348488387264,-0.10519526963987724,0.0,22.5,0.056858687390018425
银行,E20/X10/ATR20/S2,out_of_sample,2,0.001890913904589231,0.04188527959288386,-0.05632382441462669,0.5,12.5,0.1149043612801735
银行,E20/X10/ATR20/S3,full,2,0.00028932486441896055,0.012549447347535776,-0.058933903567979506,0.5,31.5,0.05587200946996436
银行,E20/X10/ATR20/S3,in_sample,2,-0.013410921756595529,-0.09536669097353137,-0.05720874597795772,0.0,20.0,0.04281948986438836
银行,E20/X10/ATR20/S3,out_of_sample,2,0.013860361204853233,0.19336312613962797,-0.04219752606849897,1.0,11.5,0.08189131784626857
银行,E40/X20/ATR20/S2,full,2,-0.07925315707087965,-0.32270391505623863,-0.10218741481483201,0.0,20.5,0.052759372287374484
银行,E40/X20/ATR20/S2,in_sample,2,-0.06614082025642148,-0.46790152989414113,-0.08059632260111443,0.0,13.0,0.03684614280708997
银行,E40/X20/ATR20/S2,out_of_sample,2,-0.013337900715888529,-0.10996477410927752,-0.05431636706975329,0.5,7.5,0.08448131085726841
银行,E55/X20/ATR20/S2,full,2,-0.06641528534320595,-0.29142138673245,-0.0795671120941196,0.0,16.5,0.042075203223039315
银行,E55/X20/ATR20/S2,in_sample,2,-0.05006824999513648,-0.3895345820871645,-0.060221070256900766,0.0,10.5,0.02820825250873797
银行,E55/X20/ATR20/S2,out_of_sample,2,-0.01713937166300039,-0.16565912420427892,-0.043798754390768246,0.0,6.0,0.06971802451558748
食品饮料,E10/X5/ATR14/S1.5,full,2,0.044739235042325354,0.14187681035723984,-0.12259250451266834,1.0,51.0,0.0748001638890734
食品饮料,E10/X5/ATR14/S1.5,in_sample,2,0.10954811866592906,0.4435243721938186,-0.08948045734486176,1.0,34.5,0.07455964954870428
食品饮料,E10/X5/ATR14/S1.5,out_of_sample,2,-0.05851874680276414,-0.4898543181348031,-0.09760981237016447,0.0,16.5,0.07527961283686999
食品饮料,E20/X10/ATR20/S1.5,full,2,0.1459483044219001,0.3763168337436853,-0.13171068853421447,1.0,30.0,0.07462040022575431
食品饮料,E20/X10/ATR20/S1.5,in_sample,2,0.22386812303935621,0.7506372672587105,-0.1000910431845905,1.0,20.0,0.08491052900809586
食品饮料,E20/X10/ATR20/S1.5,out_of_sample,2,-0.06353811837545015,-0.6374505785870316,-0.09841304227840275,0.0,10.0,0.05410772971382874
食品饮料,E20/X10/ATR20/S2,full,2,0.09617096610596787,0.329355196300155,-0.10959900372978426,1.0,28.0,0.06003170895490551
食品饮料,E20/X10/ATR20/S2,in_sample,2,0.16195889909829497,0.7206868090658414,-0.0824455271324841,1.0,18.5,0.06822294956458731
食品饮料,E20/X10/ATR20/S2,out_of_sample,2,-0.05616836733330005,-0.717625512500407,-0.08116227966865613,0.0,9.5,0.043703028987493855
食品饮料,E20/X10/ATR20/S3,full,2,0.06567249806915054,0.32429136005695247,-0.07761611466281854,1.0,25.5,0.04523164056257192
食品饮料,E20/X10/ATR20/S3,in_sample,2,0.11025362457125643,0.7272730323244626,-0.05528716127351674,1.0,17.0,0.04740005413059813
食品饮料,E20/X10/ATR20/S3,out_of_sample,2,-0.040118058051428984,-0.7161728698380307,-0.05715772148192788,0.0,8.5,0.040909055880168285
食品饮料,E40/X20/ATR20/S2,full,2,0.0892336880095681,0.3023127040709264,-0.13360436996972858,1.0,16.0,0.05661811572887171
食品饮料,E40/X20/ATR20/S2,in_sample,2,0.14531309347344268,0.6266583953892813,-0.09447231318116917,1.0,10.5,0.07179427554664347
食品饮料,E40/X20/ATR20/S2,out_of_sample,2,-0.049176496786093093,-0.7277239361052433,-0.05760226251787637,0.0,5.5,0.026365475303953938
食品饮料,E55/X20/ATR20/S2,full,2,0.10947870495911816,0.37570834625705624,-0.10894905152222267,1.0,12.5,0.049609697461241095
食品饮料,E55/X20/ATR20/S2,in_sample,2,0.14784013777492921,0.6505515719078319,-0.08625231182852122,1.0,8.5,0.06685089541961728
食品饮料,E55/X20/ATR20/S2,out_of_sample,2,-0.03382955616884392,-0.8005729834777262,-0.04266351657171141,0.0,4.0,0.015240544224018264
