ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,true_range,atr,entry_high,exit_low,entry_signal,channel_exit_signal,execution,exit_reason,fill_price,cash,shares,position,exposure,stop_price,transaction_cost,turnover,strategy_equity,strategy_return,market_return,benchmark_equity,drawdown,entry_window,exit_window,atr_window,stop_atr,risk_fraction
300750.SZ,宁德时代,新能源汽车,2021-11-30,359.96,357.32,360.46,353.61,71881,4874671104.0,1.92,0.03,0.11,0.35,357.21,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,6.849999999999966,13.30019865750116,359.82,316.76,False,False,HOLD,,,109252.4317902716,43.908212240232565,1,0.1255728120880293,329.02952097910236,0.0,0.0,124941.7141879515,3.865874656705515e-05,0.0003079421068838961,1775062.0963735702,-0.011405789780592368,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-01,357.32,352.87,360.09,348.49,69846,4696868352.0,3.25,-1.25,-4.45,0.34,357.32,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,11.599999999999966,13.215188724626099,360.46,320.42,False,False,HOLD,,,109252.4317902716,43.908212240232565,1,0.12420318711511424,329.02952097910236,0.0,0.0,124746.32264348246,-0.0015638615632814767,-0.012453822903839673,1752955.7873820153,-0.01295181426763703,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-02,352.86,361.76,362.43,351.21,91790,6268320512.0,3.18,2.52,8.89,0.45,352.87,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,11.220000000000027,13.115429288394797,360.46,320.42,True,False,HOLD,,,109252.4317902716,43.908212240232565,1,0.12693509652463392,329.02952097910236,0.0,0.0,125136.66665029814,0.0031291023137511864,0.025193414005157733,1797118.7282662676,-0.009863239505877974,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-03,362.29,361.21,363.98,352.32,80782,5501798400.0,3.22,-0.15,-0.55,0.4,361.76,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,11.660000000000025,13.042657823975059,362.43,324.01,False,False,HOLD,,,109252.4317902716,43.908212240232565,1,0.12676657545273987,329.02952097910236,0.0,0.0,125112.517133566,-0.00019298513679955054,-0.0015203449800973434,1794386.4878291092,-0.01005432118405214,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-06,355.15,344.69,357.43,343.98,112612,7509355264.0,3.72,-4.57,-16.52,0.55,361.21,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,17.22999999999996,13.252024932776305,363.98,336.27,False,False,HOLD,,,109252.4317902716,43.908212240232565,1,0.12167431487253652,329.02952097910236,0.0,0.0,124387.15346735736,-0.005797690613436046,-0.04573516790786514,1712319.9205166404,-0.01579371995393497,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-07,347.32,328.98,347.87,319.65,221391,13913426176.0,8.19,-4.56,-15.71,1.09,344.69,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,28.220000000000027,14.000423686137491,363.98,338.03,False,True,SELL,ATR_STOP,329.02952097910236,123685.08273268363,0.0,0,0.0,,14.447098040452481,0.11614622280301477,123685.08273268363,-0.005644238292324744,-0.04557718529693344,1634277.1982116234,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-08,332.2,334.54,337.75,327.46,118866,7580712192.0,3.13,1.69,5.56,0.58,328.98,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,10.29000000000002,13.81490250183062,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,0.0169007234482339,1661897.6651763525,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-09,334.54,331.65,335.09,325.59,134272,8443913216.0,2.84,-0.86,-2.89,0.66,334.54,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,9.5,13.59915737673909,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,-0.008638727805344804,1647540.983606556,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-10,325.22,335.07,342.52,324.64,213844,13738235904.0,5.39,1.03,3.42,1.05,331.65,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,17.879999999999995,13.813199507902135,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,0.010312075983717861,1664530.5514157962,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-13,335.04,345.29,346.57,329.58,160828,10409792256.0,5.07,3.05,10.22,0.79,335.07,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,16.99000000000001,13.97203953250703,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,0.030501089324618924,1715300.5464480866,-0.021348814727317422,20,10,20,2.0,0.01
