ts_code,stock_name,industry,parameter,entry_window,exit_window,atr_window,stop_atr,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,completed_trades,win_rate,average_holding_days,holding_ratio,average_exposure,total_transaction_cost,total_turnover,atr_stop_exits,channel_exits,open_position_at_end
000858.SZ,五粮液,食品饮料,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,-0.03910645795227252,-0.0163713993075979,0.034016236387247774,-0.4682562900958784,-0.07076350454304381,-0.421222117499215,0.3821156595469425,8,8,8,0.25,12.75,0.16748768472906403,0.03620328589212237,446.1783050744124,3.9728080266993953,4,4,0
002594.SZ,比亚迪,新能源汽车,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,0.19535214867235973,0.024973268070449084,0.05276752253102262,0.49381667892657916,-0.06904727094276697,5.67655786350147,-5.481205714829111,26,26,26,0.4230769230769231,23.0,0.32803071859572136,0.053048140698281496,983.4671803829442,8.399434224084208,9,17,0
002594.SZ,比亚迪,新能源汽车,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,0.18885000982105904,0.036560714470680544,0.057727290420511744,0.650882400682152,-0.06904727094276697,3.721068249258158,-3.532218239437099,15,15,15,0.4,28.6,0.35337726523887975,0.05201975201248308,466.8731597500108,4.108330630167105,4,11,0
002594.SZ,比亚迪,新能源汽车,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,0.0054692676095253745,0.0022595277118246937,0.04113991137058828,0.07537044621613713,-0.06760758024657276,0.41420490257699605,-0.4087356349674707,11,11,11,0.45454545454545453,15.363636363636363,0.277504105090312,0.05509816346438867,516.5940206329333,4.291103593917104,5,6,0
300750.SZ,宁德时代,新能源汽车,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,0.3143090552446972,0.038503566438673476,0.058925483041216475,0.6705459963359326,-0.065817903127242,16.32538499751608,-16.011075942271383,28,28,28,0.4642857142857143,25.964285714285715,0.3987931980252331,0.05579337526069621,935.0500837146878,7.610086368733857,8,20,0
300750.SZ,宁德时代,新能源汽车,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,0.21188675167412652,0.040698441197178026,0.05342163174663414,0.7733962556997532,-0.06406700637747553,6.18132141082959,-5.969434659155464,17,17,17,0.47058823529411764,27.823529411764707,0.3896210873146623,0.0469588340680107,460.91374818118,3.9678567748389253,6,11,0
300750.SZ,宁德时代,新能源汽车,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,0.08451474812236515,0.03414203485586098,0.06864021306298267,0.5232560706644002,-0.06581790312724167,1.412562257885999,-1.328047509763634,11,11,11,0.45454545454545453,23.09090909090909,0.41707717569786534,0.0734044311029297,474.1363355335079,3.642229593894931,2,9,0
002371.SZ,北方华创,半导体,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,0.26761103595056723,0.03332309349127027,0.05634627899959165,0.6099116265525921,-0.1461568832409863,30.282952548330407,-30.01534151237984,33,32,32,0.40625,21.375,0.40263302249040045,0.05999180225256938,1007.3984224974803,8.763299410438728,10,22,1
002371.SZ,北方华创,半导体,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,0.1606902798911174,0.03141562527368191,0.05509331228736933,0.5889644740900224,-0.12065947118711084,6.025307557117749,-5.864617277226632,21,20,20,0.4,21.25,0.35090609555189456,0.04582606644621572,540.8399062088083,4.725418960893958,5,15,1
002371.SZ,北方华创,半导体,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,0.09211824886607656,0.03713603283505629,0.05880993958486037,0.6493824951413985,-0.04097635017209067,3.4528943813478765,-3.3607761324818,12,12,12,0.4166666666666667,21.583333333333332,0.5057471264367817,0.08823023126556336,466.5585162886721,4.037880449544771,5,7,1
600584.SH,长电科技,半导体,E20/X10/ATR20/S2,20,10,20,2.0,full,1818,0.14265421895260721,0.018656587079915354,0.05321860671126304,0.3739088419903963,-0.09384029548809569,12.608344549125137,-12.46569033017253,31,31,31,0.41935483870967744,21.612903225806452,0.36853685368536854,0.05756150281661701,846.9308412239106,8.28558599052748,10,21,0
600584.SH,长电科技,半导体,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,-0.011711035337288345,-0.0024423155733515056,0.04411790641566739,-0.03339166053716317,-0.0901386876450927,2.9717362045760343,-2.9834472399133225,22,22,22,0.36363636363636365,21.545454545454547,0.3904448105436573,0.05281378479491127,555.3479357319097,5.468067333376217,7,15,0
600584.SH,长电科技,半导体,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,604,0.15619445304904223,0.06242346120703912,0.06788134763307943,0.9259593501373294,-0.05259297067060742,2.4262961707895627,-2.2701017177405207,9,9,9,0.5555555555555556,21.77777777777778,0.32450331125827814,0.0671041016218335,291.5829054920009,2.817518657151262,3,6,0
600031.SH,三一重工,工程机械,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,0.14388433746015794,0.018756457166372087,0.04706455912127221,0.41832279760526825,-0.06369115814631143,2.5672404009835352,-2.4233560635233773,30,30,30,0.43333333333333335,24.433333333333334,0.40208447613823367,0.07005222334334212,1119.0020075852738,9.949136810969229,7,23,0
600031.SH,三一重工,工程机械,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,0.1374442113380967,0.027093246271844063,0.04947536629821104,0.5650198035255323,-0.06369115814631143,1.4371098921883836,-1.2996656808502869,18,18,18,0.5,29.055555555555557,0.4308072487644152,0.06795980500021598,573.6967786601876,5.206935970664573,3,15,0
600031.SH,三一重工,工程机械,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,0.005661927027160507,0.002338989895372512,0.041866039750877895,0.07666608665238313,-0.04275731498433499,0.4637175009701193,-0.4580555739429588,12,12,12,0.3333333333333333,17.5,0.3448275862068966,0.07422331672356397,545.3052289250861,4.7422008403046565,4,8,0
000425.SZ,徐工机械,工程机械,E20/X10/ATR20/S2,20,10,20,2.0,full,1800,0.2031073452461658,0.02622505341592274,0.04979497969540139,0.544704240302799,-0.10548571550774621,3.080348499515978,-2.8772411542698118,30,30,30,0.36666666666666664,21.266666666666666,0.35444444444444445,0.06333895778559147,1022.366282939048,9.09587990568581,12,18,0
000425.SZ,徐工机械,工程机械,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1191,0.13230354512565246,0.02663918347853267,0.05103953969379236,0.5405268012440602,-0.10548571550774621,1.3746369796708664,-1.242333434545214,20,20,20,0.35,19.15,0.32157850545759864,0.05623119261019327,645.3842805063591,5.883439097778195,8,12,0
000425.SZ,徐工机械,工程机械,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,0.06253075902244798,0.025415636483797632,0.047307404910590524,0.5541359566776058,-0.05748773450015743,0.718304117407258,-0.65577335838481,10,10,10,0.4,25.5,0.4187192118226601,0.07723936554240472,376.982002432689,3.2124408079076137,4,6,0
